Vehicle; Origin; Manufacturer; Payload mass to ... (kg); Payload mass to ... (kg); Payload mass to ... (kg); Launches[ note 5]; Date of flight; Date of flight
Atlas V N22[ note 10];   United States; ULA; 13,000[ 19]; ; ; 0; 2019[ 20]; 
Beta;   United States; Firefly Aerospace; 4,000[ 21]; TBA; 3,000 to SSO; 0; TBA; 
Bloostar;   Spain; Zero 2 Infinity; 140[ 22]; ; 75 to SSO[ 22]; 0; 2019[ 23]; 
Cyclone-4M;   Ukraine; Yuzhnoye Yuzhmash; 5,000[ 24]; 1,000[ 25]; 3,350 to SSO[ 24]; 0; 2021[ 26]; 
Delta IV Heavy;   United States; ULA; 28,790[ 27]; 14,220; 23,560 to polar 10,000 to TLI 8,000 to TMI; 11[ 28]; 2004; 2019
Electron;   United States   New Zealand; Rocket Lab; 225[ 29]; ; 150 to SSO; 9[ 30]; 2017; 2019
Epsilon;   Japan; IHI[ 31]; 1,500[ 32]; ; 590 to SSO; 4[ 33]; 2013; 2019
Eris-S;   Australia   Singapore; Gilmour Space Technologies; 200[ 34]; ; ; 0; 2021–2022[ 35]; 
Eris-L;   Australia   Singapore; Gilmour Space Technologies; 450[ 34]; ; ; 0; TBA; 
Falcon 9 Full Thrust (partially reusable);   United States; SpaceX; 16,800+[ 36] [ note 11]; 5,500[ 37] [ note 12]; 9,600 to polar[ 39]; 45[ 40] [ 41] [ note 13]; 2015; 2019
Falcon 9 Full Thrust (expended);   United States; SpaceX; 22,800[ 37] [ note 11]; 6,500[ 38] –8,300[ 37]; 4,020 to TMI; 10[ 44] [ 45]; 2017; 2019
Falcon Heavy (partially reusable);   United States; SpaceX; 30,000[ 46] –57,000[ 47]; 8,000[ 37] –10,000[ note 14]; ; 3[ 48] [ 49]; 2018; 2019
Falcon Heavy (expended);   United States; SpaceX; 63,800[ 37]; 15,000[ 38] –26,700[ 37]; 16,800 to TMI; 0; – [ note 15]; 
GSLV Mk II;   India; ISRO; 5,000[ 50]; 2,700[ 51] [ note 16]; ; 7[ 52]; 2010; 2018
GSLV Mk III;   India; ISRO; 10,000[ 53]; 4,000; ; 3[ 54]; 2017[ note 17]; 2019
H-IIA 202;   Japan; Mitsubishi; 8,000[ 56] :67; 4,000[ 56] :48; 5,100 to SSO[ note 18] [ 56] :64–65; 26[ 57]; 2001; 2018
H-IIA 204;   Japan; Mitsubishi; ; 5,950[ 56] :48; ; 4[ 57]; 2006; 2017
H-IIB;   Japan; Mitsubishi; 16,500 (ISS)[ 58]; 8,000; ; 8[ 59]; 2009; 2019
H3;   Japan; Mitsubishi; 4,000[ 60]; 6,500[ 58]; 4,000 to SSO[ 61]; 0; 2020[ 61] [ 62]; 
Hyperbola-1;   China; i-Space; 300[ 63]; ; ; 1[ 64]; 2019[ 65] [ note 19]; 2019
Hyperbola-2;   China; i-Space; 2,000[ 63]; ; ; 0; 2021[ 63]; 
Jielong 1[ 66];   China; CALT; ; ; 200 (SSO); 1[ 66]; 2019; 2019
Kaituozhe-2;   China; CASC; 800[ 67]; ; ; 1[ 67]; 2017; 2017
Kuaizhou 1/1A;   China; ExPace; 400[ 68]; ; ; 8[ 68]; 2013; 2019
Kuaizhou 11;   China; ExPace; 1,500[ 69]; ; 1,000 to SSO[ 70]; 0; 2019[ 71]; 
Kuaizhou 21;   China; ExPace; 20,000[ 72]; ; ; 0; 2025[ 70]; 
LauncherOne;   United States; Virgin Orbit; 500[ 73]; ; 300 to SSO[ 74]; 0; 2019[ 75]; 
Long March 2C;   China; CALT; 3,850 [ citation needed]; 1,250 with CTS2; 2,000 to SSO with YZ-1S[ 76]; 57[ 77]; 1982; 2019
Long March 2D;   China; SAST; 4,000; ; 1,150 to SSO; 44[ 77]; 1992; 2019
Long March 2F;   China; CALT; 8,600; ; ; 13[ 77]; 1999; 2016
Long March 3A;   China; CALT; 6,000[ 78]; 2,600; 5,000 to SSO; 27[ 79]; 1994; 2018
Long March 3B/E;   China; CALT; 11,500[ 78]; 5,500; 6,900 to SSO; 51[ 79]; 2007; 2019
Long March 3C;   China; CALT; 9,100[ 78]; 3,800; 6,500 to SSO; 17[ 79]; 2008; 2019
Long March 4B;   China; SAST; 4,200[ 80]; 1,500; 2,800 to SSO; 34[ 80]; 1999; 2019
Long March 4C;   China; SAST; 4,200[ 81]; 1,500; 2,800 to SSO; 26[ 80]; 2006; 2019
Long March 5;   China; CALT; 25,000[ 82]; 14,000; 15,000 to SSO[ 83] 8,200 to TLI[ 84] 5,000 to TMI[ 84]; 2[ 85]; 2016; 2017
Long March 6;   China; SAST; ; ; 1,080 to SSO[ 86]; 3[ 87]; 2015; 2019
Long March 7;   China; CALT; 13,500[ 88]; ; 5,500 to SSO; 2; 2016[ 89]; 2017
Long March 8 (partially reusable)[ 90];   China; CALT; 7,600[ 91]; 2,500; 4,500 to SSO; 0; 2021[ 90]; 
Long March 9[ 92];   China; CALT; 140,000[ 93]; 66,000[ 94]; 50,000 to TLI[ 93] 44,000 to TMI[ 90]; 0; 2028[ 95] –2030[ 90]; 
Long March 11;   China; CALT; 700[ 96]; ; 350 to SSO; 8[ 97]; 2015; 2019
Minotaur I;   United States; NG Innovation; 580[ 98]; ; ; 10[ 99]; 2000; 2013
Minotaur IV;   United States; NG Innovation; 1,735[ 100]; ; ; 4[ 101]; 2010; 2017
Minotaur V;   United States; NG Innovation; ; 670[ 101]; 465 to HCO; 1[ 101]; 2013; 2013
Minotaur-C (Taurus)[ 102];   United States; NG Innovation; 1,458[ 103]; ; 1,054 to SSO[ note 20]; 10[ 104]; 1994; 2017
Miura 5;   Spain; PLD Space; 300[ 105]; ; ; 0; 2021[ 105]; 
New Glenn;   United States; Blue Origin; 45,000[ 106]; 13,000; ; 0; 2021[ 107]; 
New Line 1 (partially reusable)[ 108];   China; LinkSpace; ; ; 200 to SSO[ 108]; 0; 2020[ 108]; 
Nuri (KSLV-2);   South Korea; KARI; 1,500 at 600–800  km[ 109]; ; ; 0; 2021[ 109] [ note 21]; 
OmegA Intermediate;   United States; NG Innovation; 22,000[ 110]; 9,200[ 110]; 3,200 to GEO[ 110]; 0; 2021[ 111]; 
OmegA Heavy;   United States; NG Innovation; 23,200[ 110]; 14,000[ 110]; 6,700 to GEO[ 110]; 0; 2021[ 111]; 
OS-M1;   China; OneSpace; 205[ 112]; ; 143 to SSO; 1; 2019[ 113] [ note 22]; 2019
OS-M2;   China; OneSpace; 390[ 112]; ; 292 to SSO; 0; TBA; 
Pegasus;   United States; NG Innovation; 500[ 115]; ; ; 44[ 115] [ 116]; 1990; 2019
Prime;   United Kingdom; Orbex; 220[ 117]; ; 150 to SSO[ note 8] [ 118]; 0; 2021[ 118]; 
Proton-M / M+;   Russia; Khrunichev; 23,000  (M+)[ 119] 21,600 (M)[ 120]; 6,920  (M+) 6,150 (M); ; 108[ 121] [ 122] [ 123]; 2001; 2019
PSLV-CA;   India; ISRO; 2,100[ 124]; ; 1,100 to SSO; 14[ 124]; 2007; 2019
PSLV-DL;   India; ISRO; ; ; ; 1[ 124]; 2019; 2019
PSLV-QL;   India; ISRO; ; ; ; 1[ 124]; 2019; 2019
PSLV-XL;   India; ISRO; 3,800[ 124]; 1,300; 1,750 to SSO 1,350 to TMI[ 125]; 21[ 124]; 2008; 2019
Rokot;   Russia; Khrunichev; 1,950[ 126]; ; 1,200 to SSO; 33[ 126]; 1990; 2019[ 127]
Safir;   Iran; Iranian Space Agency; 65[ 128]; ; ; 7[ 128] [ note 23]; 2008; 2019
Shavit;   Israel; IAI; 300[ 129]; ; ; 10[ 130]; 1988; 2016
Simorgh;   Iran; Iranian Space Agency; 350[ 131]; ; ; 2[ 131] [ note 24]; 2017; 2019
Soyuz-2.1a;   Russia; TsSKB-Progress; 7,020 from Baikonur[ 132]; ; ; 33[ 133] [ 134] [ 135]; 2006[ note 25]; 2019
Soyuz-2.1b;   Russia; TsSKB-Progress; 8,200 from Baikonur[ 132]; 2,400[ 136]; ; 32[ 134] [ 137]; 2006; 2019
Soyuz ST-A;   Russia   Europe; TsSKB-Progress Arianespace; 7,800 from Kourou[ 138]; 2,810 with Fregat[ 139]; ; 6[ 134]; 2011; 2018
Soyuz ST-B;   Russia   Europe; TsSKB-Progress Arianespace; 9,000 from Kourou[ 140]; 3,250 with Fregat[ 139]; 4,400 to SSO[ 141]; 16[ 134]; 2011; 2019
Soyuz-2-1v;   Russia; TsSKB-Progress; 2,800[ 142]; ; 1,400 to SSO; 5[ 142]; 2013; 2019
Soyuz-5;   Russia; TsSKB-Progress RSC Energia; 18,000[ 143]; ; 2,500 to GEO; 0; 2022[ 144] [ 145]; 
Space Launch System Block 1[ note 26];   United States; NASA / Boeing (core) NG Innovation (SRBs); 95,000[ 146]; ; 26,000 to TLI[ 146]; 0; 2021[ 147]; 
SLS Block 1B[ note 27];   United States; NASA / Boeing NG Innovation; 105,000[ 148]; ; 37,000 to TLI[ 146]; 0; 2024[ 149]; 
SLS Block 2[ note 28];   United States; NASA / Boeing NG Innovation; 130,000[ 150]; ; 45,000 to HCO[ 146]; 0; late 2020s (TBD); 
SS-520;   Japan; IHI Aerospace; 4[ 151]; ; ; 2[ 152]; 2017[ 153] [ note 29]; 2018
SSLV;   India; ISRO; 500[ 154]; ; 300 to SSO; 0; 2020[ 155]; 
Starship[ 156] (reusable);   United States; SpaceX; 100,000+[ 156]; 100,000+[ 156]; ; ; TBA; 
Terran 1;   United States; Relativity Space; 1,250[ 157]; ; 900 to SSO; 0; 2021[ 158]; 
Unha;   North Korea; KCST; 100[ 159]; ; ; 4[ 160]; 2009[ note 30]; 2016
Vega;   Europe; ESA / ASI; 1,500[ note 31] [ 161]; ; 1,330 to SSO[ 162]; 15[ 163]; 2012; 2019
Vega C;   Europe; ESA / ASI; 2,200[ note 31] [ 164]; ; ; 0; 2020[ 165]; 
Vega E;   Europe; ESA / ASI; 3,000[ note 31] [ 166]; ; ; 0; 2024[ 167]; 
Vikram l[ 168];   India; Skyroot aerospace[ 169]; 280; ; 200 to SSPO; 0; 2021[ 170]; 
Vikram ll[ 168];   India; Skyroot aerospace; 520; ; 410 to SSPO; 0; TBA; 
Vikram lll[ 168];   India; Skyroot aerospace; 720; ; 580 to SSPO; 0; TBA; 
Vulcan / Centaur;   United States; ULA; 25,000[ 171]; 15,000[ 171]; 7,300 to GEO[ 171] [ 172]; 0; 2021[ 173]; 
Vulcan / ACES;   United States; ULA; 37,400[ 27] [ 174] [ note 32]; 18,500[ note 32]; 13,000 to TLI[ note 32]; 0; 2023[ 175]; 
Yun Feng;   Taiwan; Taiwan National Chung-Shan Institute of Science and Technology; 200[ 176]; ; ; 0; TBA; 
Yenisei[ 177];   Russia; TsSKB-Progress RSC Energia; 88,000–115,000[ 145]; ; 20,000 to TLI[ 178] [ 179]; 0; 2028[ 179]; 
Zenit-3F;   Ukraine; Yuzhnoye; ; ; 1,740 to GEO[ 180]; 4[ 181]; 2011; 2017
Zenit-3SL;   Ukraine; Yuzhmash RSC Energia; 7,000[ 181]; 6,160; ; 36[ 181]; 1999; 2014
Zenit-3SLB / 3M;   Ukraine; Yuzhmash RSC Energia; ; 3,750[ 181]; ; 6[ 181]; 2008; 2013
Zero;   Japan; Interstellar Technologies; ; ; 100 to SSO[ note 8] [ 182]; 0; 2022–2023[ 183]; 
Zhuque-1;   China; LandSpace; 300[ 184]; ; 200 to SSO; 1[ 185]; 2018[ 185]; 2018
Zhuque-2;   China; LandSpace; 4,000[ 186]; ; 2,000 to SSO; 0; 2020[ 187]; 
